                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.8889,                  1.539,                 1.4756,                0.52164,                0.31694,                0.33837,                0.10743,                 2.6479,                 2.2238,                 2.0835,              0.0028737,              0.0028737,              0.0028737
                     94,                 1.8798,                 1.4658,                  1.445,                0.54948,                0.33333,                 0.3752,                 0.1276,                 2.5895,                 1.9803,                 2.0728,              0.0028352,              0.0028352,              0.0028352
                     95,                 1.9408,                 1.5001,                  1.458,                0.63018,                0.33333,                0.37111,                0.12112,                 2.5555,                 2.0352,                 2.0324,              0.0027966,              0.0027966,              0.0027966
                     96,                 1.9102,                 1.5337,                 1.4843,                0.57456,                0.35519,                0.34311,                0.11807,                 2.4185,                 2.2244,                 1.9617,              0.0027579,              0.0027579,              0.0027579
                     97,                  1.867,                 1.4819,                 1.4495,                0.51947,                0.32787,                0.33954,                0.11928,                 2.4801,                 2.1919,                 1.9423,              0.0027192,              0.0027192,              0.0027192
                     98,                 1.8227,                 1.4245,                 1.4068,                 0.6211,                0.32247,                0.37342,                0.13201,                 2.5508,                    2.1,                 2.0013,              0.0026804,              0.0026804,              0.0026804
                     99,                 1.8373,                 1.4239,                 1.4071,                0.50571,                0.32427,                0.35509,                0.13411,                 2.5793,                 2.1768,                 2.0011,              0.0026416,              0.0026416,              0.0026416
                    100,                 1.8729,                 1.4704,                 1.4347,                0.54661,                0.32787,                0.33957,                0.13179,                 2.5501,                 2.1081,                 2.0013,              0.0026027,              0.0026027,              0.0026027
                    101,                 1.8212,                 1.4132,                 1.4131,                0.59836,                0.34426,                0.38177,                0.14734,                 2.4941,                 2.0064,                 1.9863,              0.0025639,              0.0025639,              0.0025639
                    102,                 1.8551,                 1.4446,                 1.4001,                0.30281,                0.28962,                0.22362,                 0.0772,                  2.663,                 2.6349,                 2.1163,               0.002525,               0.002525,               0.002525
                    103,                  1.886,                 1.4305,                 1.4431,                0.59818,                0.37705,                0.38077,                0.14469,                 2.3937,                  1.988,                 1.9497,              0.0024861,              0.0024861,              0.0024861
                    104,                 1.7961,                 1.4133,                 1.4144,                0.40642,                0.23198,                0.19795,                0.06882,                 2.6693,                 2.6354,                 2.1621,              0.0024473,              0.0024473,              0.0024473
                    105,                  1.856,                 1.4642,                 1.4375,                0.48138,                0.35519,                0.32694,                0.11016,                 2.4572,                 2.1975,                 2.0253,              0.0024084,              0.0024084,              0.0024084
                    106,                 1.7771,                 1.3691,                 1.3958,                0.54928,                0.39956,                0.35131,                0.11759,                 2.4442,                  2.041,                 1.9519,              0.0023696,              0.0023696,              0.0023696
                    107,                 1.8252,                 1.3719,                 1.4046,                0.48004,                0.35519,                0.32505,                0.10638,                 2.5386,                 2.1813,                 2.0795,              0.0023308,              0.0023308,              0.0023308
                    108,                 1.8245,                 1.3894,                 1.4234,                0.55966,                0.36811,                0.36532,                0.12702,                 2.4359,                 2.0807,                 1.9847,              0.0022921,              0.0022921,              0.0022921
                    109,                 1.7918,                 1.3595,                 1.4009,                0.63958,                0.31694,                0.35081,                0.13249,                 2.5635,                 2.1086,                 2.0414,              0.0022534,              0.0022534,              0.0022534
