                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.1281,                0.62207,                0.95379,                0.75248,                0.57325,                0.62599,                0.27553,                 2.0543,                 1.3688,                 1.4389,              0.0026416,              0.0026416,              0.0026416
                    100,                  1.114,                0.61177,                0.94789,                0.75224,                0.58599,                0.62963,                0.28004,                 2.0524,                 1.3578,                 1.4445,              0.0026027,              0.0026027,              0.0026027
                    101,                 1.1096,                0.61073,                0.94291,                0.79007,                0.54777,                0.61643,                0.27935,                 2.0579,                 1.3512,                 1.4537,              0.0025639,              0.0025639,              0.0025639
                    102,                 1.1086,                0.60298,                0.94704,                0.79546,                 0.5552,                0.62463,                0.28082,                 2.0538,                 1.3513,                 1.4536,               0.002525,               0.002525,               0.002525
                    103,                 1.0926,                0.59148,                0.94301,                0.79141,                0.57006,                0.62726,                0.27914,                 2.0584,                 1.3672,                  1.462,              0.0024861,              0.0024861,              0.0024861
                    104,                 1.1154,                0.60496,                0.94873,                0.82961,                0.53754,                0.63048,                0.28159,                 2.0607,                  1.376,                 1.4593,              0.0024473,              0.0024473,              0.0024473
                    105,                 1.1017,                0.59814,                 0.9461,                0.82509,                0.52972,                0.62026,                 0.2809,                 2.0574,                 1.3767,                 1.4577,              0.0024084,              0.0024084,              0.0024084
                    106,                 1.0822,                0.58863,                0.94133,                  0.841,                0.53079,                0.63188,                0.28277,                 2.0515,                 1.3679,                 1.4571,              0.0023696,              0.0023696,              0.0023696
                    107,                 1.0851,                0.58361,                0.93974,                 0.8005,                0.55376,                0.63512,                0.28211,                 2.0504,                 1.3905,                 1.4531,              0.0023308,              0.0023308,              0.0023308
                    108,                 1.0968,                0.59335,                 0.9441,                0.78109,                0.56817,                0.63099,                0.27862,                 2.0486,                   1.39,                 1.4525,              0.0022921,              0.0022921,              0.0022921
                    109,                 1.0851,                0.58148,                0.94329,                0.77242,                0.56688,                0.62619,                0.27814,                 2.0534,                 1.3935,                 1.4516,              0.0022534,              0.0022534,              0.0022534
                    110,                 1.0759,                0.58061,                0.93708,                0.77537,                0.56798,                0.62816,                0.27797,                 2.0506,                 1.3842,                 1.4516,              0.0022148,              0.0022148,              0.0022148
                    111,                 1.0792,                 0.5833,                0.93785,                0.78684,                  0.569,                 0.6292,                0.27959,                 2.0553,                 1.3895,                 1.4535,              0.0021763,              0.0021763,              0.0021763
