epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
133,8610.81,1.15792,0.66,0.96322,0.00603,0.78457,0.61859,0.67384,0.30154,1.95907,1.22424,1.35723,0,0.00133266,0.00133266,0.00133266,0.000133266
134,8673.95,1.15739,0.66636,0.96203,0.00594,0.7884,0.62102,0.67491,0.30415,1.95946,1.22538,1.35674,0,0.00129874,0.00129874,0.00129874,0.000129874
135,8739.41,1.15706,0.66437,0.9588,0.00587,0.78645,0.62162,0.67567,0.30399,1.95861,1.22794,1.3554,0,0.00126512,0.00126512,0.00126512,0.000126512
136,8802.43,1.15076,0.65887,0.96179,0.00577,0.78375,0.62314,0.677,0.30362,1.95813,1.22912,1.35582,0,0.00123182,0.00123182,0.00123182,0.000123182
137,8863.91,1.1559,0.66216,0.96696,0.00569,0.77885,0.62435,0.67591,0.30402,1.95798,1.23289,1.35509,0,0.00119883,0.00119883,0.00119883,0.000119883
138,8925.19,1.15139,0.65353,0.96121,0.0056,0.77586,0.6242,0.67657,0.3033,1.95823,1.23607,1.35441,0,0.00116617,0.00116617,0.00116617,0.000116617
139,8986.46,1.14333,0.65381,0.95763,0.00552,0.76919,0.62633,0.67479,0.30418,1.96002,1.23525,1.35562,0,0.00113384,0.00113384,0.00113384,0.000113384
140,9051.22,1.13378,0.64691,0.955,0.00543,0.7718,0.6283,0.67303,0.30358,1.95977,1.23485,1.35584,0,0.00110186,0.00110186,0.00110186,0.000110186
141,9115.08,1.1408,0.64827,0.95942,0.00536,0.77239,0.63043,0.67294,0.30272,1.96077,1.23597,1.35664,0,0.00107023,0.00107023,0.00107023,0.000107023
142,9177.44,1.11943,0.63253,0.95678,0.00526,0.76951,0.62951,0.67295,0.30286,1.96091,1.23798,1.35702,0,0.00103896,0.00103896,0.00103896,0.000103896
143,9238.65,1.1372,0.65199,0.95619,0.00518,0.77488,0.62951,0.67421,0.30307,1.95982,1.23761,1.35614,0,0.00100806,0.00100806,0.00100806,0.000100806
144,9301.1,1.12872,0.64622,0.95049,0.0051,0.77712,0.62633,0.67303,0.30184,1.95929,1.23834,1.35596,0,0.000977524,0.000977524,0.000977524,9.77524e-05
145,9363.12,1.13304,0.6441,0.95373,0.00502,0.77392,0.62739,0.67129,0.30203,1.95978,1.23859,1.35709,0,0.000947376,0.000947376,0.000947376,9.47376e-05
146,9427.9,1.11958,0.62662,0.95289,0.00496,0.77109,0.62739,0.67099,0.30167,1.96121,1.23958,1.35773,0,0.000917616,0.000917616,0.000917616,9.17616e-05
147,9490.64,1.11851,0.62902,0.95399,0.00487,0.77038,0.63057,0.6727,0.30207,1.96082,1.24135,1.35809,0,0.000888253,0.000888253,0.000888253,8.88253e-05
148,9554.14,1.1112,0.63232,0.94914,0.0048,0.77375,0.62739,0.67248,0.30144,1.96114,1.24212,1.35886,0,0.000859294,0.000859294,0.000859294,8.59294e-05
149,9615.85,1.11281,0.62273,0.95307,0.00471,0.77471,0.62787,0.67152,0.30127,1.96166,1.24346,1.35969,0,0.000830746,0.000830746,0.000830746,8.30746e-05
150,9677.51,1.11836,0.6251,0.95114,0.00465,0.77351,0.62739,0.67252,0.30118,1.96308,1.24407,1.36074,0,0.000802616,0.000802616,0.000802616,8.02616e-05
151,9739.32,1.11114,0.62,0.94842,0.00457,0.76573,0.62951,0.67176,0.30087,1.96479,1.24338,1.36273,0,0.000774911,0.000774911,0.000774911,7.74911e-05
